Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,8.071123667959757,6.931947635453253,2.2438753752602945,97.75612462473971,55.172413793103445
XLSTM,17.726158640414738,16.617728893712258,5.387560037602772,94.61243996239723,51.724137931034484
SVM,12.609804677480538,11.313626110955685,3.6593264776359513,96.34067352236404,48.275862068965516
ARIMA,5.932753745206735,5.095665486653646,1.6668870949700039,98.33311290502999,44.827586206896555
SARIMA,5.932753745206735,5.095665486653646,1.6668870949700039,98.33311290502999,44.827586206896555
Stacking,2.4037976873940985,2.020400735787795,0.661837425904879,99.33816257409512,62.06896551724138
Voting,9.16550514287186,8.008891650725948,2.589938750097909,97.41006124990209,55.172413793103445
