Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,9.289900549119997,7.879213230592631,3.07664855049105,96.92335144950896,51.724137931034484
XLSTM,14.91002235045711,13.74960985476858,5.391069425667059,94.60893057433294,62.06896551724138
SVM,26.65426514588031,25.435749759198135,9.992847447146517,90.00715255285348,37.93103448275862
ARIMA,19.765961276735418,18.361324564615884,7.19398588018764,92.80601411981236,37.93103448275862
SARIMA,19.765961276735418,18.361324564615884,7.19398588018764,92.80601411981236,37.93103448275862
Ensemble (Stacking),1.2679151995572713,0.8429106855604392,0.333120783912724,99.66687921608728,86.20689655172413
