Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,8.364519223858265,7.34308151213833,2.375012253763449,97.62498774623656,65.51724137931035
XLSTM,18.48631486250675,17.669554833153477,5.729096357301878,94.27090364269812,48.275862068965516
SVM,15.196018116740369,14.28872241374224,4.628538489657165,95.37146151034284,44.827586206896555
ARIMA,9.387401098336204,8.305905151367188,2.6838437917417917,97.3161562082582,44.827586206896555
SARIMA,9.387401098336204,8.305905151367188,2.6838437917417917,97.3161562082582,44.827586206896555
