Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,3.9513166071351304,3.2667312883553374,0.9508059543030094,99.04919404569699,44.827586206896555
XLSTM,4.7941752235703525,4.049821104634793,1.1828627969669947,98.817137203033,24.137931034482758
SVM,5.045959798030906,4.085435176578498,1.198215292564567,98.80178470743543,48.275862068965516
ARIMA,4.278121730464449,3.4553660367656374,1.0089055877328064,98.99109441226719,48.275862068965516
SARIMA,4.278121730464449,3.4553660367656374,1.0089055877328064,98.99109441226719,48.275862068965516
