Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,10.324432368312257,9.006421871141175,1.7403485236352032,98.2596514763648,41.37931034482759
XLSTM,19.65711698409447,18.95860372626145,3.6688494195015235,96.33115058049847,44.827586206896555
SVM,6.018354785169142,4.727271465738162,0.9114632802319728,99.08853671976803,37.93103448275862
ARIMA,15.2851375544949,14.353985595703126,2.7751677179580514,97.22483228204194,41.37931034482759
SARIMA,15.2851375544949,14.353985595703126,2.7751677179580514,97.22483228204194,41.37931034482759
