Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,8.339933771483967,7.09419189761223,2.747943835527767,97.25205616447224,44.827586206896555
XLSTM,8.138117291204827,6.74907675515824,2.6427293444582816,97.35727065554173,44.827586206896555
SVM,10.803044520646722,9.350317978202067,3.6641001358076006,96.3358998641924,34.48275862068966
ARIMA,7.332291637062688,6.311638127432586,2.4293865790332223,97.57061342096678,48.275862068965516
SARIMA,7.332291637062688,6.311638127432586,2.4293865790332223,97.57061342096678,48.275862068965516
MoE,6.711490119601255,5.278061146673919,2.046996631553851,97.95300336844615,54.166666666666664
