Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,10.833519875491668,9.766243554958965,5.322661858421783,94.67733814157822,37.93103448275862
XLSTM,11.443209220296055,10.394182932771264,5.650960794218438,94.34903920578157,58.620689655172406
SVM,12.724642379698256,11.587676199725783,6.301045019865671,93.69895498013433,44.827586206896555
ARIMA,6.676165820828761,5.223662821451823,2.8238801661498463,97.17611983385015,44.827586206896555
SARIMA,6.676165820828761,5.223662821451823,2.8238801661498463,97.17611983385015,44.827586206896555
