Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,7.929623211734588,6.7811218778672275,3.674980354916149,96.32501964508386,44.827586206896555
XLSTM,12.115674017114978,11.171058334213104,6.068947838570131,93.93105216142988,48.275862068965516
SVM,11.494649081434947,10.43810258255565,5.6644584742399084,94.33554152576009,44.827586206896555
ARIMA,6.531602922402339,5.253582218760926,2.840993304225009,97.15900669577499,48.275862068965516
SARIMA,6.531602922402339,5.253582218760926,2.840993304225009,97.15900669577499,48.275862068965516
Stacking,3.487844241006442,2.903884823031937,1.5929955313578996,98.4070044686421,58.620689655172406
Voting,8.719072117204544,7.5980976467571715,4.114884679619184,95.88511532038082,51.724137931034484
