Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,73.3821236444026,72.42667664983246,16.755442685232484,83.24455731476752,55.172413793103445
XLSTM,110.39275963615752,109.09298043734377,25.208602150337967,74.79139784966203,55.172413793103445
SVM,105.46153254275337,103.65993369226678,23.920608725672313,76.07939127432769,41.37931034482759
ARIMA,84.60274806259208,82.83482666015625,19.097266554038683,80.90273344596132,41.37931034482759
SARIMA,84.60274806259208,82.83482666015625,19.097266554038683,80.90273344596132,41.37931034482759
