Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
SVM (Hybrid Head),3.6522808227082373,2.9273436944151427,1.4053730928948063,98.5946269071052,79.3103448275862
xLSTM+Dense,9.026897707198922,7.891751098632812,3.821205631132316,96.17879436886768,58.620689655172406
ARIMA,4.002062389767868,3.1540953446598508,1.5154776316349226,98.48452236836508,44.827586206896555
SARIMA,3.9560324908116615,3.1866889744322435,1.5323950216778561,98.46760497832214,41.37931034482759
Stacking,2.5164157127910607,1.9350803729271737,0.9268816375892913,99.07311836241071,82.75862068965517
Voting,4.301317366723433,3.4921367589269012,1.6869003801965643,98.31309961980344,58.620689655172406
