Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,8.750626245993027,7.312720216063366,3.8772030290118678,96.12279697098813,58.620689655172406
XLSTM,10.139210689515696,8.3252780602982,4.404185575872019,95.59581442412798,51.724137931034484
SVM,16.901729610689348,14.624799883969015,7.769088659451459,92.23091134054854,34.48275862068966
ARIMA,11.006016725567875,8.934005737304688,4.721694318923182,95.27830568107682,34.48275862068966
SARIMA,11.006016725567875,8.934005737304688,4.721694318923182,95.27830568107682,34.48275862068966
