Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,27.618061197131514,24.797938772215762,3.4012161265964007,96.5987838734036,58.620689655172406
XLSTM,23.409128225838735,18.8093001275846,2.5127044066308906,97.48729559336911,58.620689655172406
SVM,23.899472532216972,21.099521493968584,2.8834315758715223,97.11656842412847,44.827586206896555
ARIMA,28.73347086526487,25.520614678658884,3.506528783947342,96.49347121605265,55.172413793103445
SARIMA,28.73347086526487,25.520614678658884,3.506528783947342,96.49347121605265,55.172413793103445
Stacking,10.881486914961963,9.557461267134446,1.292406971204782,98.70759302879522,62.06896551724138
Voting,24.78772042540377,21.996929749078888,3.006452162215868,96.99354783778413,58.620689655172406
