Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,12.960768703086243,11.769492053216345,2.274627764020948,97.72537223597905,55.172413793103445
XLSTM,14.679502422335542,13.70904506469742,2.6474963139695156,97.35250368603049,51.724137931034484
SVM,5.843107257507158,4.566705837462701,0.8801286054020653,99.11987139459794,55.172413793103445
ARIMA,8.348308460276908,6.809149739473751,1.3217079105961047,98.6782920894039,55.172413793103445
SARIMA,8.348308460276908,6.809149739473751,1.3217079105961047,98.6782920894039,55.172413793103445
Ensemble (Stacking),1.4968962099298948,1.196396972656252,0.23143069175339173,99.76856930824661,79.3103448275862
