Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,4.239928282892059,3.6188497348697637,1.0535234404550964,98.9464765595449,41.37931034482759
XLSTM,4.587667019974116,3.895050578042416,1.132704067925166,98.86729593207484,34.48275862068966
SVM,4.938672616516009,3.897761340885046,1.1428048743636037,98.8571951256364,55.172413793103445
ARIMA,4.178355485831789,3.302179102551372,0.9638407417554167,99.03615925824458,55.172413793103445
SARIMA,4.178355485831789,3.302179102551372,0.9638407417554167,99.03615925824458,55.172413793103445
Stacking,2.7763322381278526,2.279609442590845,0.6637596962207105,99.33624030377929,65.51724137931035
Voting,4.252994578657341,3.5012273186572127,1.0217876540312774,98.97821234596873,51.724137931034484
