Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,12.513153980751557,11.07605080061985,4.4910062984045105,95.50899370159549,44.827586206896555
XLSTM,5.691943818458454,4.852569392299968,1.9587037515731482,98.04129624842685,44.827586206896555
SVM,31.551270804758595,30.603222998141398,12.272075648805885,87.72792435119412,48.275862068965516
ARIMA,30.458899498795546,26.07138563035394,10.496409882226173,89.50359011777383,51.724137931034484
SARIMA,17.470921111711277,15.434956921063815,6.221007916534529,93.77899208346547,51.724137931034484
Ensemble (Stacking),0.9897571258828157,0.7243997701009107,0.2904588506079374,99.70954114939207,93.10344827586206
