Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,20.757819775128834,16.476078067574697,7.892900408906642,92.10709959109336,44.827586206896555
XLSTM,19.514761332317445,14.509794122218937,6.951286150178418,93.04871384982158,58.620689655172406
SVM,18.507339562753675,17.99447700688637,8.624430129615789,91.37556987038421,62.06896551724138
ARIMA,18.063804449195608,17.069879943393705,8.156768040543685,91.84323195945632,65.51724137931035
SARIMA,14.968122716928164,13.994267890591356,6.706556251030875,93.29344374896912,55.172413793103445
MoE,14.65852698229502,12.741840699662262,6.075624533838106,93.92437546616189,58.333333333333336
