Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,35.62372945934756,31.16408472594279,4.2932152198275055,95.7067847801725,55.172413793103445
XLSTM,25.06515462708966,21.89977599476733,2.9959115991707397,97.00408840082926,51.724137931034484
SVM,23.706578129075993,20.51789424351069,2.8031861070128796,97.19681389298712,55.172413793103445
ARIMA,26.657668416506606,23.09481201171875,3.166788942063972,96.83321105793603,48.275862068965516
SARIMA,26.657668416506606,23.09481201171875,3.166788942063972,96.83321105793603,48.275862068965516
