Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
SVM (Hybrid Head),6.409134633671859,4.711707149903979,1.5869134362713695,98.41308656372863,62.06896551724138
xLSTM+Dense,13.905572161618243,12.591721598307293,4.118970246444073,95.88102975355592,62.06896551724138
ARIMA,5.146815987572076,4.0054940005112565,1.331615683264292,98.66838431673571,44.827586206896555
SARIMA,5.146815987572076,4.0054940005112565,1.331615683264292,98.66838431673571,44.827586206896555
Stacking,4.2727735785749505,3.1750095513329333,1.0502022448270956,98.94979775517291,62.06896551724138
Voting,5.244571969798143,3.881390699233545,1.2868230307036186,98.71317696929638,62.06896551724138
