Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,7.7588901596590265,6.674250245938058,3.5341940854815075,96.4658059145185,51.724137931034484
XLSTM,10.767400569731132,8.992469477895543,4.7401149018726025,95.2598850981274,48.275862068965516
SVM,17.084046259025765,14.800040313221427,7.8235663672002325,92.17643363279977,34.48275862068966
ARIMA,9.96537233922544,8.409667460123698,4.43945475113342,95.56054524886657,34.48275862068966
SARIMA,9.96537233922544,8.409667460123698,4.43945475113342,95.56054524886657,34.48275862068966
Stacking,1.6071866184362575,1.3167283215906536,0.7217457831186089,99.2782542168814,68.96551724137932
Voting,11.019439735169193,9.219150472127712,4.860352295678945,95.13964770432105,48.275862068965516
