Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
SVM (Hybrid Head),4.687212825589671,3.7110581600962744,0.9584529449578706,99.04154705504213,89.65517241379311
xLSTM+Dense,22.828631887385562,22.325531005859375,5.707862562142685,94.29213743785732,72.41379310344827
ARIMA,5.539859337905238,4.314429692659072,1.1074261388205129,98.89257386117949,58.620689655172406
SARIMA,5.9535986726722365,4.699091077780336,1.2041953007634614,98.79580469923654,44.827586206896555
Stacking,3.4595555573683234,2.950768574442124,0.7505768474289756,99.24942315257103,72.41379310344827
Voting,7.928929158920302,6.589367505436057,1.7007634326925491,98.29923656730745,65.51724137931035
