Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,61.41502298857445,60.58045876861221,13.924340747914771,86.07565925208523,58.620689655172406
XLSTM,93.34476970558372,92.85259476887289,21.331910234936586,78.66808976506341,44.827586206896555
SVM,85.92357750368531,84.19465000550458,19.298449106624155,80.70155089337584,44.827586206896555
ARIMA,40.114120362436644,38.540329996744795,8.810410579193132,91.18958942080687,44.827586206896555
SARIMA,40.114120362436644,38.540329996744795,8.810410579193132,91.18958942080687,44.827586206896555
Stacking,8.658402210442995,6.571779858394492,1.5119518962444103,98.48804810375559,48.275862068965516
Voting,63.79549545284224,62.94167270729586,14.435104249572356,85.56489575042764,55.172413793103445
