Model,RMSE,MAE,MAPE,Accuracy,Directional Accuracy
LSTM,23.904589335559663,21.590668858880964,7.230192618750543,92.76980738124945,41.37931034482759
XLSTM,15.264563848845297,12.399547132108486,4.183953080092909,95.8160469199071,37.93103448275862
SVM,20.90163771681016,19.064047283922545,6.381735536415994,93.61826446358401,55.172413793103445
ARIMA,23.46003100380378,18.787236319343084,6.3326474683881955,93.66735253161181,37.93103448275862
SARIMA,23.46003100380378,18.787236319343084,6.3326474683881955,93.66735253161181,37.93103448275862
MoE,14.859731110883258,13.796976570772838,4.528876712331557,95.47112328766845,37.5
